n,beta,Itinerary_String
21,1.9320562841794,"[0, 5, 8, 9, 11, 16]"
21,1.9312256576166,"[0, 5, 8, 9, 12, 16]"
21,1.9312567100094,"[0, 5, 8, 9, 12, 17]"
21,1.9307924892341,"[0, 5, 8, 9, 13, 16]"
21,1.9308237304629,"[0, 5, 8, 9, 13, 17]"
21,1.9306148045237,"[0, 5, 8, 9, 14, 18]"
21,1.9351019620885,"[0, 5, 8, 10, 11, 16]"
21,1.9342958389581,"[0, 5, 8, 10, 12, 16]"
21,1.9343257322344,"[0, 5, 8, 10, 12, 17]"
21,1.9338762275813,"[0, 5, 8, 10, 13, 16]"
21,1.9339062958267,"[0, 5, 8, 10, 13, 17]"
21,1.933658402377,"[0, 5, 8, 10, 14, 16]"
21,1.9336885653495,"[0, 5, 8, 10, 14, 17]"
21,1.9337041581865,"[0, 5, 8, 10, 14, 18]"
21,1.9335994166985,"[0, 5, 8, 10, 15, 19]"
21,1.9358500840439,"[0, 5, 8, 11, 12, 16]"
21,1.9358793866687,"[0, 5, 8, 11, 12, 17]"
21,1.9354374635958,"[0, 5, 8, 11, 13, 16]"
21,1.9354669342403,"[0, 5, 8, 11, 13, 17]"
21,1.9352234577678,"[0, 5, 8, 11, 14, 16]"
21,1.9352530192949,"[0, 5, 8, 11, 14, 17]"
21,1.9352682889932,"[0, 5, 8, 11, 14, 18]"
21,1.9351126358854,"[0, 5, 8, 11, 15, 16]"
21,1.9351422463095,"[0, 5, 8, 11, 15, 17]"
21,1.9351575421288,"[0, 5, 8, 11, 15, 18]"
21,1.9351654447122,"[0, 5, 8, 11, 15, 19]"
21,1.9351081548153,"[0, 5, 8, 11, 16, 19]"
21,1.9351122420142,"[0, 5, 8, 11, 16, 20]"
21,1.9362345832853,"[0, 5, 8, 12, 13, 16]"
21,1.9362637423453,"[0, 5, 8, 12, 13, 17]"
21,1.9360225823779,"[0, 5, 8, 12, 14, 16]"
21,1.9360518303247,"[0, 5, 8, 12, 14, 17]"
21,1.9360669318829,"[0, 5, 8, 12, 14, 18]"
21,1.9359128468281,"[0, 5, 8, 12, 15, 16]"
21,1.9359421425782,"[0, 5, 8, 12, 15, 17]"
21,1.9359572696643,"[0, 5, 8, 12, 15, 18]"
21,1.9359650818637,"[0, 5, 8, 12, 15, 19]"
21,1.935885416978,"[0, 5, 8, 12, 16, 17]"
21,1.935900557731,"[0, 5, 8, 12, 16, 18]"
21,1.9359083772157,"[0, 5, 8, 12, 16, 19]"
21,1.9359124159577,"[0, 5, 8, 12, 16, 20]"
21,1.9358831078435,"[0, 5, 8, 12, 17, 20]"
21,1.936296140803,"[0, 5, 8, 13, 16, 17]"
21,1.9363111924991,"[0, 5, 8, 13, 16, 18]"
21,1.9363189643524,"[0, 5, 8, 13, 16, 19]"
21,1.9363229776449,"[0, 5, 8, 13, 16, 20]"
21,1.9362820446909,"[0, 5, 8, 13, 17, 18]"
21,1.936289820382,"[0, 5, 8, 13, 17, 19]"
21,1.9362938357164,"[0, 5, 8, 13, 17, 20]"
21,1.9291514752014,"[0, 5, 9, 10, 11, 16]"
21,1.9282993040632,"[0, 5, 9, 10, 12, 16]"
21,1.9278541264083,"[0, 5, 9, 10, 13, 16]"
21,1.9278864323758,"[0, 5, 9, 10, 13, 17]"
21,1.9276222403001,"[0, 5, 9, 10, 14, 16]"
21,1.9276546557447,"[0, 5, 9, 10, 14, 17]"
21,1.9276714649157,"[0, 5, 9, 10, 14, 18]"
21,1.9299368967164,"[0, 5, 9, 11, 12, 16]"
21,1.9294996278697,"[0, 5, 9, 11, 13, 16]"
21,1.9295312501223,"[0, 5, 9, 11, 13, 17]"
21,1.9292720769755,"[0, 5, 9, 11, 14, 16]"
21,1.9293038039686,"[0, 5, 9, 11, 14, 17]"
21,1.929320242244,"[0, 5, 9, 11, 14, 18]"
21,1.9291538581065,"[0, 5, 9, 11, 15, 16]"
21,1.9291856416347,"[0, 5, 9, 11, 15, 17]"
21,1.9292021101959,"[0, 5, 9, 11, 15, 18]"
21,1.9292106447918,"[0, 5, 9, 11, 15, 19]"
21,1.9291537687979,"[0, 5, 9, 11, 16, 20]"
21,1.9303416697169,"[0, 5, 9, 12, 13, 16]"
21,1.9303729352395,"[0, 5, 9, 12, 13, 17]"
21,1.9301163960718,"[0, 5, 9, 12, 14, 16]"
21,1.9301477638774,"[0, 5, 9, 12, 14, 17]"
21,1.9301640090329,"[0, 5, 9, 12, 14, 18]"
21,1.929999414904,"[0, 5, 9, 12, 15, 16]"
21,1.9300308378938,"[0, 5, 9, 12, 15, 17]"
21,1.9300471126006,"[0, 5, 9, 12, 15, 18]"
21,1.9300555430673,"[0, 5, 9, 12, 15, 19]"
21,1.9299701782139,"[0, 5, 9, 12, 16, 17]"
21,1.9299864687901,"[0, 5, 9, 12, 16, 18]"
21,1.9299949077403,"[0, 5, 9, 12, 16, 19]"
21,1.9299992797468,"[0, 5, 9, 12, 16, 20]"
21,1.9305507099082,"[0, 5, 9, 13, 14, 16]"
21,1.9305818878822,"[0, 5, 9, 13, 14, 17]"
21,1.9305980311409,"[0, 5, 9, 13, 14, 18]"
21,1.9304343852357,"[0, 5, 9, 13, 15, 16]"
