n,beta,Itinerary_String
13,1.9354819981917,"[0, 5, 8, 11]"
13,1.936278788164,"[0, 5, 8, 12]"
13,1.9279014746994,"[0, 5, 9, 10]"
13,1.92954628401,"[0, 5, 9, 11]"
13,1.9303879568615,"[0, 5, 9, 12]"
13,1.9750083421671,"[0, 6, 7, 8]"
13,1.9795438367283,"[0, 6, 7, 9]"
13,1.9817768063283,"[0, 6, 7, 10]"
13,1.9828875376647,"[0, 6, 7, 11]"
13,1.983443259014,"[0, 6, 7, 12]"
13,1.970457372294,"[0, 6, 8, 9]"
13,1.9728423183542,"[0, 6, 8, 10]"
13,1.974032552334,"[0, 6, 8, 11]"
13,1.974630302513,"[0, 6, 8, 12]"
13,1.9681019853108,"[0, 6, 9, 10]"
13,1.9693402496482,"[0, 6, 9, 11]"
13,1.9699633280033,"[0, 6, 9, 12]"
13,1.9668907559459,"[0, 6, 10, 11]"
13,1.9675283817704,"[0, 6, 10, 12]"
13,1.9662705518238,"[0, 6, 11, 12]"
13,1.988041010604,"[0, 7, 8, 9]"
13,1.9901602099777,"[0, 7, 8, 10]"
13,1.9912108055344,"[0, 7, 8, 11]"
13,1.9917345021221,"[0, 7, 8, 12]"
13,1.9859149385266,"[0, 7, 9, 10]"
13,1.9870025179018,"[0, 7, 9, 11]"
13,1.9875456186774,"[0, 7, 9, 12]"
13,1.98483305933,"[0, 7, 10, 11]"
13,1.9853871177944,"[0, 7, 10, 12]"
13,1.9842846112455,"[0, 7, 11, 12]"
13,1.9942569623145,"[0, 8, 9, 10]"
13,1.9952774672116,"[0, 8, 9, 11]"
13,1.99578525542,"[0, 8, 9, 12]"
13,1.9932338703783,"[0, 8, 10, 11]"
13,1.9937511776424,"[0, 8, 10, 12]"
13,1.9927176313828,"[0, 8, 11, 12]"
13,1.9972823951142,"[0, 9, 10, 11]"
13,1.9977820497832,"[0, 9, 10, 12]"
13,1.996781834062,"[0, 9, 11, 12]"
13,1.9987720785923,"[0, 10, 11, 12]"
13,1.7528605189047,"[0, 3, 4, 5, 7, 10]"
13,1.7225602144188,"[0, 3, 4, 5, 8, 10]"
13,1.7290279147711,"[0, 3, 4, 5, 8, 11]"
13,1.8219259790049,"[0, 3, 4, 6, 7, 10]"
13,1.8030807706628,"[0, 3, 4, 6, 8, 10]"
13,1.806460049453,"[0, 3, 4, 6, 8, 11]"
13,1.7951066516667,"[0, 3, 4, 6, 9, 11]"
13,1.8359897161816,"[0, 3, 4, 7, 8, 10]"
13,1.8385911115758,"[0, 3, 4, 7, 8, 11]"
13,1.8267766764588,"[0, 3, 4, 7, 9, 10]"
13,1.8296006027428,"[0, 3, 4, 7, 9, 11]"
13,1.824385560133,"[0, 3, 4, 7, 10, 11]"
13,1.8259759680161,"[0, 3, 4, 7, 10, 12]"
13,1.6845138758652,"[0, 3, 5, 6, 7, 10]"
13,1.637703446622,"[0, 3, 5, 6, 8, 10]"
13,1.7093678374649,"[0, 3, 5, 7, 8, 10]"
13,1.6881667965386,"[0, 3, 5, 7, 9, 10]"
13,1.6960187876117,"[0, 3, 5, 7, 9, 11]"
13,1.6873835240143,"[0, 3, 5, 7, 10, 12]"
13,1.7181681807306,"[0, 3, 5, 8, 10, 11]"
13,1.7216677977763,"[0, 3, 5, 8, 10, 12]"
13,1.9017518967487,"[0, 4, 5, 6, 7, 9]"
13,1.9052857610765,"[0, 4, 5, 6, 7, 10]"
13,1.9070958209829,"[0, 4, 5, 6, 7, 11]"
13,1.8881569325343,"[0, 4, 5, 6, 8, 9]"
13,1.8920843660263,"[0, 4, 5, 6, 8, 10]"
13,1.8941030766246,"[0, 4, 5, 6, 8, 11]"
13,1.8845617470528,"[0, 4, 5, 6, 9, 10]"
13,1.886721381573,"[0, 4, 5, 6, 9, 11]"
13,1.8878464043003,"[0, 4, 5, 6, 9, 12]"
13,1.8837879907646,"[0, 4, 5, 6, 10, 12]"
13,1.9131596182989,"[0, 4, 5, 7, 8, 9]"
13,1.9164393155158,"[0, 4, 5, 7, 8, 10]"
13,1.9181128339761,"[0, 4, 5, 7, 8, 11]"
13,1.9100907079229,"[0, 4, 5, 7, 9, 10]"
13,1.9118586391713,"[0, 4, 5, 7, 9, 11]"
13,1.9127708630001,"[0, 4, 5, 7, 9, 12]"
13,1.9084574914266,"[0, 4, 5, 7, 10, 11]"
13,1.9094005576754,"[0, 4, 5, 7, 10, 12]"
13,1.9075930737559,"[0, 4, 5, 7, 11, 12]"
13,1.9220323093582,"[0, 4, 5, 8, 9, 10]"
13,1.9236372582545,"[0, 4, 5, 8, 9, 11]"
13,1.9244615639425,"[0, 4, 5, 8, 9, 12]"
13,1.9205326153282,"[0, 4, 5, 8, 10, 11]"
13,1.9213818127183,"[0, 4, 5, 8, 10, 12]"
13,1.9197446895406,"[0, 4, 5, 8, 11, 12]"
13,1.9264417102446,"[0, 4, 5, 9, 10, 11]"
13,1.9272467056888,"[0, 4, 5, 9, 10, 12]"
13,1.9256903654292,"[0, 4, 5, 9, 11, 12]"
13,1.8631216939905,"[0, 4, 6, 7, 8, 9]"
13,1.8677247093533,"[0, 4, 6, 7, 8, 10]"
13,1.8701081315379,"[0, 4, 6, 7, 8, 11]"
13,1.8590033391071,"[0, 4, 6, 7, 9, 10]"
13,1.8615850393819,"[0, 4, 6, 7, 9, 11]"
13,1.8629427433864,"[0, 4, 6, 7, 9, 12]"
