orbit,Itinerary_String,roots
16,"[0, 5, 9, 10, 14, 15]","[1.927622238575064, 1.0812486921404967]"
16,"[0, 3, 4, 5, 7, 8, 11, 13]","[1.7293050082928698, 1.1360017178205266]"
16,"[0, 3, 4, 5, 8, 10, 12, 13]","[1.7226535941952323, 1.12838834875077]"
16,"[0, 3, 5, 6, 8, 9, 11, 13]","[1.6230809347210933, 1.1972590591772088]"
16,"[0, 3, 5, 6, 8, 10, 12, 13]","[1.637744240738813, 1.1579132171310595]"
16,"[0, 3, 5, 6, 8, 10, 13, 15]","[1.6376627929047047, 1.0000023265462197]"
16,"[0, 3, 5, 7, 9, 10, 12, 13]","[1.688248766164746, 1.1178465888926175]"
16,"[0, 4, 5, 6, 7, 8, 11, 12]","[1.8952889687514467, 1.066896100092021]"
16,"[0, 4, 5, 6, 8, 9, 11, 12]","[1.888739214916947, 1.0716122424882475]"
16,"[0, 4, 5, 6, 8, 9, 12, 13]","[1.8882133159273746, 1.0755761068246927]"
16,"[0, 4, 5, 6, 9, 10, 11, 12]","[1.8851615897149485, 1.0766040515809445]"
16,"[0, 4, 5, 6, 9, 10, 12, 13]","[1.8846194719794587, 1.0810087040888026]"
16,"[0, 4, 5, 6, 9, 10, 13, 14]","[1.884330564262582, 1.0853530071652258]"
16,"[0, 4, 5, 6, 9, 10, 14, 15]","[1.884176851003614, 1.0895503191209097]"
16,"[0, 4, 6, 7, 8, 9, 11, 12]","[1.8638106978945028, 1.0779632569272792]"
16,"[0, 4, 6, 7, 8, 9, 12, 13]","[1.8631853773775005, 1.0825843349908078]"
16,"[0, 4, 6, 7, 9, 10, 11, 12]","[1.8597166685149826, 1.0839094065326538]"
16,"[0, 4, 6, 7, 9, 10, 12, 13]","[1.8590687195877011, 1.0890809727744168]"
16,"[0, 4, 6, 7, 9, 10, 13, 14]","[1.8587183196137769, 1.0941444420508084]"
16,"[0, 4, 6, 7, 10, 11, 12, 13]","[1.8568009068431408, 1.0957999111253103]"
16,"[0, 4, 6, 7, 10, 11, 13, 14]","[1.8564426070702482, 1.101322341311706]"
16,"[0, 4, 6, 7, 10, 11, 14, 15]","[1.85624897195271, 1.1065344348004298]"
16,"[0, 4, 7, 8, 9, 10, 11, 12]","[1.8448132162623474, 1.0921092984093386]"
16,"[0, 4, 7, 8, 9, 10, 12, 13]","[1.8440863072385292, 1.098138205346088]"
16,"[0, 4, 7, 8, 9, 10, 13, 14]","[1.8436897070704803, 1.1039784171182936]"
16,"[0, 4, 7, 8, 10, 11, 12, 13]","[1.8415788358333427, 1.106110262649183]"
16,"[0, 4, 7, 8, 10, 11, 13, 14]","[1.8411721522335838, 1.1124706443520922]"
16,"[0, 4, 7, 8, 10, 11, 14, 15]","[1.8409504318091772, 1.1183724348052952]"
16,"[0, 4, 7, 8, 11, 12, 13, 14]","[1.839781104036385, 1.1208124795800065]"
16,"[0, 4, 7, 8, 11, 12, 14, 15]","[1.8395559152751428, 1.126992685355131]"
16,"[0, 2, 3, 4, 6, 8, 10, 12, 14, 15]","[1.1645613189635915, 1.000007369728315]"
16,"[0, 3, 4, 5, 6, 7, 9, 10, 12, 13]","[1.7579453163081575, 1.1016195163916835]"
16,"[0, 3, 4, 5, 7, 8, 9, 10, 12, 13]","[1.736405617418767, 1.1141872230518302]"
16,"[0, 3, 4, 5, 7, 8, 10, 11, 12, 13]","[1.7319593416255137, 1.1251428858816297]"
16,"[0, 3, 4, 5, 7, 8, 10, 11, 13, 14]","[1.7310815135335353, 1.1335116533945717]"
16,"[0, 3, 4, 5, 7, 8, 10, 11, 14, 15]","[1.7305698483299408, 1.1410918718386205]"
16,"[0, 3, 5, 6, 7, 8, 9, 10, 12, 13]","[1.65867408531653, 1.1361711736350724]"
16,"[0, 3, 5, 6, 7, 8, 10, 11, 12, 13]","[1.6513620828490985, 1.1519671908740987]"
16,"[0, 3, 5, 6, 7, 8, 10, 11, 13, 14]","[1.649660659512145, 1.1632916774244462]"
16,"[0, 3, 5, 6, 7, 8, 10, 11, 13, 15]","[1.6512440978508884, 1.0000037590723652]"
16,"[0, 3, 5, 6, 8, 9, 10, 11, 12, 13]","[1.6289326294303557, 1.1780696667864912]"
16,"[0, 3, 5, 6, 8, 9, 10, 11, 13, 14]","[1.6267678088448505, 1.1914309299633365]"
